,open,high,low,close,prev_close,volume,turnover,vwap,trades,daily_return,log_return,price_range,volatility_30d,volatility_90d,decade,year,month,RSI,PE_Ratio,SMA_50,SMA_100,SMA_200,EMA_20,EMA_50,RSI_14,BB_mid,BB_upper,BB_lower,BB_width,BB_squeeze,MACD,MACD_signal,MACD_hist
1994-12-22,342.0,342.0,339.0,340.0,343.0,15700.0,5341605.0,340.23,,-0.0087463556851311,-0.0087848295557328,3.0,0.3189430535646718,,1990s,1994,12,,,,,,354.8081608952174,370.1979323483133,34.05715785484024,359.275,396.07420622713704,322.4757937728629,73.59841245427413,False,-11.379360303670978,-10.21423008414302,-1.165130219527958
1994-12-23,339.0,345.5,338.5,344.75,340.0,35150.0,12051612.5,342.86,,0.013970588235294,0.013873899063204,7.0,0.3187350846585003,,1990s,1994,12,,,,,,353.85024080995856,369.1999742170069,38.64811352252138,357.5375,393.58982856192284,321.4851714380772,72.10465712384564,False,-10.771932611062255,-10.325770589526869,-0.4461620215353861
1994-12-26,339.0,344.75,338.55,339.0,344.75,37050.0,12617067.5,340.54,,-0.0166787527193618,-0.0168194092929608,6.199999999999989,0.3108139500809809,,1990s,1994,12,,,,,,352.43593216139107,368.01566150261453,35.43228069714726,355.3375,390.1978511018945,320.47714889810544,69.72070220378907,False,-10.631960115587447,-10.387008494738984,-0.24495162084846278
1994-12-27,340.0,340.0,336.35,337.75,339.0,7450.0,2515897.5,337.7,,-0.0036873156342183,-0.003694130540142,3.649999999999977,0.3108294814244683,,1990s,1994,12,,,,,,351.0372719555443,366.8287728162375,34.75524377355808,353.2,386.78320382196074,319.61679617803924,67.1664076439215,False,-10.500848216106249,-10.409776439012438,-0.09107177709381098
1994-12-28,340.5,340.5,339.25,339.25,337.75,7650.0,2598205.0,339.63,,0.0044411547002221,0.0044313218746703,1.25,0.2916197729182125,,1990s,1994,12,,,,,,349.9146746264449,365.74725231364,36.32752739829831,351.15,382.7263069071531,319.57369309284684,63.15261381430628,False,-10.158799312340534,-10.359581013678058,0.20078170133752415
1994-12-29,339.5,339.75,338.75,339.2,339.25,3150.0,1068075.0,339.07,,-0.0001473839351511,-0.0001473947972305,1.0,0.2663122269736682,,1990s,1994,12,,,,,,348.89422942392633,364.70618359545807,36.296128890015225,349.15999999999997,378.2660782221458,320.05392177785416,58.21215644429162,False,-9.779031090731053,-10.243471029088658,0.46443993835760544
1994-12-30,339.0,341.5,339.0,341.2,339.2,14750.0,5022347.5,340.5,,0.0058962264150943,0.005878911699776,2.5,0.2676824445564371,,1990s,1994,12,,,,,,348.1614456692667,363.78437247406754,38.58282111511965,347.5075,374.2745904578539,320.7404095421461,53.53418091570779,False,-9.210505776470256,-10.036877978564977,0.8263722020947206
1995-01-02,341.0,343.0,340.5,341.2,341.2,13600.0,4647010.0,341.69,,0.0,0.0,2.5,0.2612196418515293,,1990s,1995,1,,,,,,347.49845084362227,362.89871080841783,38.582821115119636,345.555,367.5345814336849,323.57541856631514,43.95916286736974,False,-8.660116931662287,-9.76152576918444,1.1014088375221522
1995-01-03,342.5,342.5,336.1,336.2,341.2,11450.0,3878752.5,338.76,,-0.0146541617819461,-0.0147625946430088,6.399999999999977,0.2591565706332108,,1990s,1995,1,,,,,,346.4224079061344,361.85170254142105,34.94579672949418,343.74,362.0377306617079,325.44226933829214,36.59546132341575,True,-8.52907020787643,-9.515034656922838,0.9859644490464081
1995-01-04,339.95,340.5,330.3,332.0,336.2,62600.0,20911287.5,334.05,,-0.0124925639500297,-0.0125712520580266,10.199999999999989,0.2598044596702863,,1990s,1995,1,,,,,,345.0488452484073,360.6810475397967,32.19997849587284,342.02750000000003,357.6736353896597,326.38136461034037,31.292270779319324,True,-8.664243627042765,-9.344876450946824,0.6806328239040589
1995-01-05,332.0,333.0,320.25,321.3,332.0,59200.0,19280345.0,325.68,,-0.0322289156626505,-0.0327597027946756,12.75,0.2540349184091164,,1990s,1995,1,,,,,,342.7870504628447,359.13669273431447,26.48952953747819,340.0425,355.6270833066555,324.45791669334454,31.16916661331095,True,-9.524972161978837,-9.380895593153227,-0.1440765688256107
1995-01-06,323.0,323.5,315.0,316.75,321.3,88550.0,28178457.5,318.22,,-0.014161220043573,-0.0142624469205643,8.5,0.2537351979613896,,1990s,1995,1,,,,,,340.30733137114527,357.47446948983156,24.499819209126102,337.73,352.68408411033334,322.7759158896667,29.908168220666653,True,-10.453748396906292,-9.595466153903839,-0.8582822430024528
1995-01-09,319.25,319.25,299.0,302.35,316.75,264800.0,79692617.5,300.95,,-0.0454617205998421,-0.0465275324820264,20.25,0.2741276299539722,,1990s,1995,1,,,,,,336.69234743103624,355.3127255882696,19.50612091428019,335.4975,356.66523798918814,314.32976201081186,42.33547597837628,True,-12.211008998095451,-10.118574722742162,-2.0924342753532894
1995-01-10,303.0,303.0,283.0,287.35,302.35,351750.0,101150962.5,287.56,,-0.049611377542583,-0.0508843017654713,20.0,0.2997614468635203,,1990s,1995,1,,,,,,331.99307624712804,352.6475206632394,15.876048506494186,333.2275,363.44050652298387,303.0144934770162,60.42601304596769,False,-14.645204523265363,-11.023900682846802,-3.6213038404185607
1995-01-11,290.0,300.0,280.0,295.25,287.35,168000.0,48507772.5,288.74,,0.0274926048373063,0.027121470123721,20.0,0.317275033949042,,1990s,1995,1,,,,,,328.4937356521634,350.3966374999751,23.90771250376656,331.165,365.7525715433033,296.57742845669674,69.17514308660657,False,-15.755241421637663,-11.970168830604976,-3.7850725910326872
1995-01-12,294.0,297.5,277.5,278.25,295.25,375850.0,106357107.5,282.98,,-0.0575783234546993,-0.0593024649218174,20.0,0.3475414916853433,,1990s,1995,1,,,354.621,,,323.708617971005,347.56735759801535,19.576353517955724,327.84000000000003,369.0755441974896,286.6044558025105,82.47108839497912,False,-17.801506895614352,-13.136436443606852,-4.6650704520075
1995-01-13,280.0,288.5,279.0,286.3,278.25,169700.0,48356342.5,284.95,,0.0289308176100628,0.0285202219484151,9.5,0.3652534733509113,,1990s,1995,1,,,352.42699999999996,,,320.14589244995693,345.1647161235834,26.378162770033427,324.95500000000004,369.3805012115192,280.5294987884809,88.85100242303827,False,-18.55967492342387,-14.221084139570257,-4.338590783853613
1995-01-16,288.0,294.0,282.0,284.1,286.3,149800.0,43253980.0,288.74,,-0.0076842472930491,-0.007713923243927,12.0,0.3577286825836852,,1990s,1995,1,,,350.199,,,316.7129503118658,342.77002137363894,25.73751576890369,322.235,369.7244237533053,274.7455762466947,94.97884750661058,False,-19.11767352158313,-15.20040201597283,-3.917271505610298
1995-01-17,285.0,286.0,275.05,277.3,284.1,255950.0,71133542.5,277.92,,-0.0239352340725097,-0.0242263362384099,10.949999999999989,0.3588215430888466,,1990s,1995,1,,,347.825,,,312.95933599645,340.2025695550649,23.812434913817086,319.125,369.8877038805371,268.3622961194629,101.52540776107423,False,-19.87943682758737,-16.13620897829574,-3.743227849291628
1995-01-18,279.25,284.7,278.0,283.35,277.3,88500.0,24963475.0,282.07,,0.0218175261449693,0.0215829299938958,6.699999999999989,0.3693370244471873,,1990s,1995,1,,,345.75199999999995,,,310.13939923488334,337.9730570234937,28.907363654027932,316.14250000000004,367.99649822172717,264.2885017782729,103.70799644345425,False,-19.767092559327523,-16.8623856945021,-2.9047068648254246
