,Date,Symbol,Open,High,Low,Close,PrevClose,Volume,Turnover,VWAP,Trades,Daily_Return_%,Cumulative_Return_%,MA_20,MA_50
231,1995-04-20,RELIANCE,277.9,279.5,277.0,279.0,276.8,262450,73042457.5,278.31,,0.7947976878612675,-27.15877745194325,272.725,269.989
232,1995-04-21,RELIANCE,280.0,281.75,278.55,279.55,279.0,318400,89162262.5,280.03,,0.19713261648745925,-27.01518364405281,273.8,270.24800000000005
233,1995-04-24,RELIANCE,280.0,280.2,273.75,275.2,279.55,165900,45930625.0,276.86,,-1.5560722589876668,-28.150880124640793,274.62250000000006,270.22700000000003
234,1995-04-25,RELIANCE,277.95,277.95,269.0,270.3,275.2,280900,76200647.5,271.27,,-1.7805232558139452,-29.4301704131192,275.15,270.23600000000005
235,1995-04-26,RELIANCE,274.0,274.5,271.0,273.0,270.3,250600,68342640.0,272.72,,0.9988901220865662,-28.72525535620254,275.72999999999996,270.29900000000004
236,1995-04-27,RELIANCE,273.35,273.65,259.0,262.45,273.0,530800,140992020.0,265.62,,-3.864468864468869,-31.47964567119179,275.4625,270.175
237,1995-04-28,RELIANCE,262.0,263.5,246.5,249.9,262.45,881450,223980200.0,254.1,,-4.781863212040383,-34.75619528760079,274.495,269.772
184,1995-05-02,RELIANCE,249.5,249.5,230.0,230.95,249.9,788500,186161570.0,236.1,,-7.58303321328532,-39.703654668553035,272.665,269.092
185,1995-05-03,RELIANCE,230.05,244.0,225.55,242.25,230.95,994850,233339325.0,234.55,,4.892833946741724,-36.75345461553139,271.505,268.808
186,1995-05-04,RELIANCE,245.0,249.5,239.0,247.15,242.25,990200,241832490.0,244.23,,2.0227038183694557,-35.474164327052975,270.45500000000004,268.642
187,1995-05-05,RELIANCE,250.0,253.0,245.75,246.9,247.15,848500,211306015.0,249.03,,-0.10115314586283633,-35.53943423973044,268.9475,268.515
188,1995-05-08,RELIANCE,245.75,250.0,241.0,247.65,246.9,729250,179949135.0,246.76,,0.3037667071688943,-35.34362450169802,267.25249999999994,268.61800000000005
189,1995-05-09,RELIANCE,249.4,252.6,245.4,248.5,247.65,839600,208453297.5,248.28,,0.3432263274782937,-35.121706798594616,265.445,268.773
190,1995-05-10,RELIANCE,250.0,252.75,245.0,246.1,248.5,485950,120477362.5,247.92,,-0.9657947686116722,-35.74829796029833,263.6125,268.363
191,1995-05-12,RELIANCE,242.5,243.25,237.5,242.7,246.1,740700,178137137.5,240.5,,-1.3815522145469346,-36.635968772711934,261.76,267.883
192,1995-05-15,RELIANCE,241.5,242.0,238.1,238.75,242.7,367050,88104127.5,240.03,,-1.6275236918005722,-37.66723339301596,259.90749999999997,267.223
193,1995-05-16,RELIANCE,239.95,240.9,235.25,237.95,238.75,578650,137627550.0,237.84,,-0.33507853403141835,-37.876097113583874,257.77,266.35
194,1995-05-17,RELIANCE,250.75,261.45,250.0,260.75,237.95,1636500,420298845.0,256.83,,9.581844925404502,-31.92348107739859,256.6925,266.00100000000003
195,1995-05-18,RELIANCE,262.5,274.0,262.5,272.8,260.75,1463100,396834760.0,271.23,,4.6212847555129475,-28.777471286344507,256.4325,265.747
196,1995-05-19,RELIANCE,275.0,280.0,250.5,275.3,272.8,1564850,428387642.5,273.76,,0.9164222873900292,-28.1247721595698,256.3575,265.57199999999995
197,1995-05-22,RELIANCE,265.0,271.75,265.0,266.95,275.3,1090250,292990507.5,268.74,,-3.033054849255366,-30.304787242997307,255.75499999999997,265.453
198,1995-05-23,RELIANCE,265.0,268.4,263.1,265.25,266.95,1368650,363416042.5,265.53,,-0.6368233751638841,-30.74862264920411,255.04000000000002,265.168
199,1995-05-24,RELIANCE,271.0,272.0,262.05,263.5,265.25,1263900,336727897.5,266.42,,-0.6597549481621112,-31.20551203794639,254.455,264.651
200,1995-05-25,RELIANCE,262.5,265.0,256.6,260.85,263.5,1156350,300922172.5,260.23,,-1.0056925996204846,-31.89737311232757,253.98250000000002,264.139
201,1995-05-26,RELIANCE,266.0,270.0,261.5,262.55,260.85,1149150,304491042.5,264.97,,0.6517155453325622,-31.453537706120784,253.46000000000004,264.049
202,1995-05-29,RELIANCE,262.25,266.4,261.0,265.45,262.55,786000,207574537.5,264.09,,1.104551513997325,-30.696406719062125,253.60999999999999,263.87100000000004
203,1995-05-30,RELIANCE,268.0,269.5,265.5,269.05,265.45,976950,261637675.0,267.81,,1.3561876059521654,-29.756519976506553,254.56750000000002,263.87
204,1995-05-31,RELIANCE,274.0,275.75,268.5,271.85,269.05,1454400,394122307.5,270.99,,1.0406987548782796,-29.02549695451887,256.6125,263.968
205,1995-06-01,RELIANCE,274.95,278.4,272.0,277.85,271.85,1862450,513677175.0,275.81,,2.2070995034026115,-27.459019050259585,258.39250000000004,264.317
206,1995-06-02,RELIANCE,279.0,284.0,275.0,276.6,277.85,2837600,793868262.5,279.77,,-0.44988303041209277,-27.785368613646938,259.865,264.812
207,1995-06-05,RELIANCE,275.0,277.75,273.1,274.85,276.6,1579800,434968280.0,275.33,,-0.6326825741142443,-28.24225800238922,261.2625,265.148
208,1995-06-06,RELIANCE,275.0,280.0,274.5,279.0,274.85,1684600,467620947.5,277.59,,1.5099144988175284,-27.158777451943223,262.83000000000004,265.56699999999995
209,1995-06-07,RELIANCE,282.5,283.0,277.0,277.75,279.0,1736500,485514407.5,279.59,,-0.4480286738351254,-27.485127015330576,264.2925,265.94699999999995
210,1995-06-08,RELIANCE,273.0,277.1,269.0,275.25,277.75,1627750,448588145.0,275.59,,-0.9000900090009001,-28.137826142105283,265.75,266.25699999999995
211,1995-06-09,RELIANCE,277.0,278.0,272.0,273.2,275.25,1855900,507815812.5,273.62,,-0.7447774750227107,-28.67303942606054,267.275,266.493
155,1995-06-12,RELIANCE,273.25,273.8,269.6,272.9,273.2,1624300,441527262.5,271.83,,-0.1098096632503702,-28.751363321273516,268.9825,266.595
156,1995-06-13,RELIANCE,273.25,277.0,267.0,271.8,272.9,2078500,566793425.0,272.69,,-0.40307805056796114,-29.03855093705438,270.675,266.646
157,1995-06-14,RELIANCE,272.0,273.4,267.3,268.25,271.8,1129900,304977677.5,269.92,,-1.3061074319352506,-29.965383697074458,271.05,266.66
158,1995-06-15,RELIANCE,267.5,268.45,264.5,267.2,268.25,721400,192442437.5,266.76,,-0.3914259086672922,-30.239517330319828,270.77000000000004,266.695
159,1995-06-16,RELIANCE,270.0,274.4,270.0,272.4,267.2,1272550,346803430.0,272.53,,1.9461077844311336,-28.881903146628446,270.625,266.78
160,1995-06-19,RELIANCE,275.0,275.0,271.3,272.0,272.4,651750,178058145.0,273.2,,-0.14684287812040284,-28.986335006912398,270.8775,266.679
161,1995-06-20,RELIANCE,271.25,274.25,271.25,272.05,272.0,867150,236326862.5,272.53,,0.01838235294118065,-28.973281024376902,271.21750000000003,266.48900000000003
162,1995-06-21,RELIANCE,275.75,276.3,272.8,273.05,272.05,712750,195348992.5,274.08,,0.3675794890645102,-28.71220137366703,271.69500000000005,266.257
163,1995-06-22,RELIANCE,271.5,273.35,270.15,271.95,273.05,597350,162273300.0,271.66,,-0.402856619666736,-28.999388989447894,272.25,266.041
164,1995-06-23,RELIANCE,272.25,272.25,268.5,268.8,271.95,537900,145374165.0,270.26,,-1.15830115830115,-29.821789889184018,272.56250000000006,265.822
165,1995-06-26,RELIANCE,268.0,268.0,261.5,263.4,268.8,470350,124454350.0,264.6,,-2.008928571428584,-31.231620003017383,272.46,265.57399999999996
166,1995-06-27,RELIANCE,263.0,264.45,260.4,261.85,263.4,937150,245665090.0,262.14,,-0.5884586180713571,-31.636293461617683,272.1,265.197
167,1995-06-28,RELIANCE,262.5,269.5,261.2,267.05,261.85,849400,224901360.0,264.78,,1.9858697727706658,-30.2786792779263,271.86,264.892
168,1995-06-29,RELIANCE,271.0,271.75,267.0,267.5,267.05,810000,218491220.0,269.74,,0.168507770080505,-30.161193435106853,271.3425,264.682
169,1995-06-30,RELIANCE,265.5,266.0,262.75,263.7,267.5,716700,189199560.0,263.99,,-1.4205607476635556,-31.153296107804408,270.69750000000005,264.42
170,1995-07-03,RELIANCE,262.25,262.25,256.25,257.05,263.7,523750,135731807.5,259.15,,-2.5218050815320354,-32.88947578502511,269.8075,263.981
171,1995-07-04,RELIANCE,253.0,259.05,253.0,255.35,257.05,1036400,265460855.0,256.14,,-0.6613499319198666,-33.333311191231914,268.625,263.49699999999996
172,1995-07-05,RELIANCE,264.0,264.0,256.0,256.7,255.35,1325900,345230930.0,260.37,,0.5286861170941822,-32.98085366277358,267.5725,263.127
173,1995-07-06,RELIANCE,255.0,259.1,253.75,258.7,256.7,846900,216812020.0,256.01,,0.7791195948578108,-32.45869436135381,266.745,262.895
174,1995-07-07,RELIANCE,259.5,261.5,258.35,260.3,258.7,810300,210867130.0,260.23,,0.618477000386557,-32.040966920218,266.1,262.64099999999996
175,1995-07-10,RELIANCE,261.7,262.5,258.5,258.9,260.3,542550,141427877.5,260.67,,-0.5378409527468436,-32.40647843121184,265.4,262.57
176,1995-07-11,RELIANCE,258.3,259.75,256.75,257.65,258.9,963350,248414560.0,257.87,,-0.48281189648512945,-32.73282799459919,264.6925,262.725
177,1995-07-12,RELIANCE,260.0,263.5,226.35,262.75,257.65,550950,144536607.5,262.34,,1.9794294585678336,-31.401321775978786,264.4175,263.361
178,1995-07-13,RELIANCE,265.0,265.25,262.75,263.85,262.75,354750,93665482.5,264.03,,0.4186489058040048,-31.114134160197906,264.25,263.793
179,1995-07-14,RELIANCE,264.0,265.8,263.0,264.4,263.85,435300,115192880.0,264.63,,0.20845177184004338,-30.97054035230748,263.85,264.138
180,1995-07-17,RELIANCE,266.25,268.25,264.05,267.4,264.4,766450,204093512.5,266.28,,1.1346444780635403,-30.18730140017783,263.62,264.548
181,1995-07-18,RELIANCE,269.0,269.0,265.65,267.4,267.4,750400,200377180.0,267.03,,0.0,-30.18730140017783,263.3875,264.943
